,Sys 1,Sys 2,Sys 3,Sys 4,Sys 5
COMET,0.466929314279402,0.6763184682085094,0.3383076426742429,0.494569589842506,0.5247272091889472
BLEU,0.4179047285309438,0.5977914473788326,0.3972386394678964,0.45573313844231,0.49430321991131104
chrF,0.6417878647359173,0.7528972052106994,0.6246571828687806,0.6599715647664902,0.6765322002255384
ZeroEdit,0.030303030303030304,0.14646464646464646,0.015151515151515152,0.030303030303030304,0.030303030303030304
TER,0.4765317090648513,0.3242565388749552,0.48978860623432463,0.44858473665352927,0.4242207094231458
GLEU,0.7055013521030424,0.7914201010763294,0.6863373940424571,0.7186391827674039,0.7261709613028502
BERTScore,0.881761339276728,0.925873425271776,0.8860728695537105,0.9021056896508343,0.9048915604750315
