,Precison,FDR,FOR,NPV,Recall,FPR,FNR,TNR
neutral,0.9872340425531915,0.01276595744680851,0.0022346368715083797,0.9977653631284916,0.9914529914529915,0.0033482142857142855,0.008547008547008548,0.9966517857142857
female,0.9741379310344828,0.02586206896551724,0.0039447731755424065,0.9960552268244576,0.9658119658119658,0.0029615004935834156,0.03418803418803419,0.9970384995064165
male,0.9948652118100129,0.005134788189987163,0.011396011396011397,0.9886039886039886,0.9948652118100129,0.011396011396011397,0.005134788189987163,0.9886039886039886
