,PPV,FDR,FOR,NPV,TPR,FPR,FNR,TNR
neutral,0.9969135802469136,0.0030864197530864196,0.0073475385745775165,0.9926524614254225,0.96996996996997,0.0007396449704142012,0.03003003003003003,0.9992603550295858
female,0.9556650246305419,0.04433497536945813,0.004048582995951417,0.9959514170040485,0.97,0.006060606060606061,0.03,0.9939393939393939
male,0.9896373056994818,0.010362694300518135,0.011385199240986717,0.9886148007590133,0.9947916666666666,0.0225140712945591,0.005208333333333333,0.9774859287054409
