,AISP-SJTU,bleu_bestmbr,bleurt_bestmbr,chrf_bestmbr,comet_bestmbr,DLUT,HuaweiTSC,JDExploreAcademy,Lan-Bridge,LanguageX,M2M100_1.2B-B4,NiuTrans,Online-A,Online-B,Online-G,Online-W,Online-Y,QUARTZ_TuneReranking,refA,refB
COMET,0.29890190218621404,0.2830542394144479,0.3045221111234646,0.2982597993520817,0.2503794277972071,0.25744845543591544,0.2938380907455662,0.3164412142994749,0.25190368267606095,0.3104201449855867,0.16993765254587967,0.2419840308616288,0.26395859761016055,0.2655506531117797,0.29810650893256513,0.21611119424002154,0.2789972465300914,0.1502895332513248,0.5649204746036246,1.1672729840373048
BERTScore,0.9333913863295376,0.9303777864663908,0.9304501289188272,0.9306323124630617,0.9260942518120945,0.9289149401211503,0.9326583528282619,0.93492244293194,0.9301680280430482,0.9342699651670928,0.9196696636700394,0.9288543449770106,0.9292466398512963,0.9301859782473876,0.9323242703286728,0.925147294171966,0.9303868880366335,0.9191052792095902,0.9588666121558388,0.999999996813217
TER,0.6358384623690746,0.6431810819565922,0.6673685347154735,0.6679624230644639,0.6981427491631574,0.6787603930461075,0.6457725947521866,0.6232048374905518,0.644638807904114,0.6316812439261419,0.7026239067055393,0.6608897527264874,0.6650469711694201,0.6599179354281395,0.6513875391426411,0.6892884137782097,0.6638052046215311,0.7957563977972142,0.3562250296944175,0.0
BLEU,0.2368335542200122,0.22834794834277794,0.2128597674215062,0.22431223866476993,0.17168846614808594,0.21029396108725476,0.2388819891212831,0.24647160693041084,0.22710166700510026,0.2456493526148967,0.17914564952296674,0.21807297293690397,0.22716878600857116,0.22653807607591822,0.23841510975168956,0.19773700602945918,0.21788950981109845,0.17160841416083944,0.5646214425782458,1.0000000000000004
chrF,0.5780177349644631,0.5617094377712764,0.5530468986423958,0.5730095715519412,0.48877687516600754,0.5496115860219032,0.5669179463019648,0.5809136253358339,0.5600294778283198,0.5822270695730436,0.5124782119675713,0.5521098682396184,0.563109835150881,0.5609640865908943,0.5794373812294143,0.5323191061706385,0.5627765871424291,0.4953200935389791,0.7641194260678694,1.0
ZeroEdit,0.0,0.0,0.0,0.0,0.0019801980198019802,0.0,0.0,0.0019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027722772277227723,1.0
GLEU,0.6568484710877734,0.644611403667,0.6362815812493278,0.6494995299703218,0.5970265945072949,0.6346775203432439,0.6461595038810032,0.6619947429195594,0.6321196990126872,0.6601238174854892,0.6046992226704206,0.6318446991911804,0.6391387359516948,0.6381634515222776,0.6566494452785182,0.6215771816169435,0.6413782050141106,0.5851711617195834,0.7935043022783865,1.0
