,Precison,FDR,FOR,NPV,Recall,FPR,FNR,TNR
neutral,0.9896907216494846,0.010309278350515464,0.010526315789473684,0.9894736842105263,0.9896907216494846,0.010526315789473684,0.010309278350515464,0.9894736842105263
female,0.95,0.05,0.006578947368421052,0.993421052631579,0.9743589743589743,0.013071895424836602,0.02564102564102564,0.9869281045751634
male,0.9818181818181818,0.01818181818181818,0.014598540145985401,0.9854014598540146,0.9642857142857143,0.007352941176470588,0.03571428571428571,0.9926470588235294
